store_name,address,zip,new_status
SUPERMERCADO LA CHIQUTIA,2623 S PULASKI RD,60623,OPEN
TONY'S FINER FOODS,5233 N. LINCOLN AVE,60625,OPEN
ALDI,6025 S WESTERN AVE,60636,OPEN
MARIANO'S FRESH MARKET,3030 N BROADWAY SUITE 100,60657,OPEN
PETE'S FRESH MARKET,4700 S KEDZIE AVE.,60632,OPEN
JEWEL - OSCO,11730 S MARSHFIELD AVE,60643,OPEN
JEWEL - OSCO,3630 N SOUTHPORT AVE,60613,OPEN
POTASH MARKETS,175 E DELAWARE,60611,OPEN
ALDI,3835 W MADISON ST,60624,OPEN
WALMART,2551 W CERMAK RD,60608,CLOSED
CARNICERIA LA HACIENDA,3629 W 63RD ST,60629,OPEN
H MART,711 W JACKSON BLVD,60661,OPEN
LEAMINGTON FOODS,3240 W ROOSEVELT RD,60624,OPEN
JEWEL - OSCO,7530 S STONY ISLAND AVE,60649,CLOSED
JEWEL - OSCO,102 W DIVISION ST,60610,OPEN
PETE'S FRESH MARKET,5724 S KEDZIE AVE.,60629,OPEN
FOOD 4 LESS,4620 S DAMEN AVE,60609,OPEN
PETE'S PRODUCE,1543 EAST 87TH STREET,60619,OPEN
WHOLE FOODS MARKET,1550 N KINGSBURY ST,60642,OPEN
CERMAK PRODUCE,4234 N KEDZIE AVE.,60618,OPEN
LA CASA DEL PUEBLO,1810 S BLUE ISLAND AVE,60608,OPEN
TARGET,4466 N BROADWAY ST,60640,OPEN
PARK TO SHOP SUPERMARKET,2425 S WALLACE ST,60616,OPEN
MORELIA SUPERMARKET,4833 W DIVERSEY AVE,60639,OPEN
HYDE PARK PRODUCE,1226 E 53RD ST,60615,OPEN
JEWEL - OSCO,424 W DIVISION ST,60610,OPEN
ANDY'S FRUIT RANCH,4733 N KEDZIE AVE,60625,OPEN
MARIANO'S FRESH MARKET,5201 N SHERIDAN RD,60640,OPEN
TARGET,1346 E 53RD ST,60615,OPEN
MARIANO'S FRESH MARKET,1800 WEST LAWRENCE AVE.,60640,OPEN
FAIRPLAY NEIGHBORHOOD MARKET,2323 W 111TH ST.,60643,OPEN
PETE'S FRESH MARKET,3448 E 118TH ST.,60617,OPEN
TONY'S FINER FOODS,5630 W. BELMONT AVE,60634,OPEN
STUMPY'S GROCERY & DELI,9001 S ASHLAND AVE,60620,OPEN
DEVON MARKET,1440 W DEVON AVE,60660,OPEN
WHOLE FOODS MARKET,255 E GRAND AVE,60611,OPEN
TARGET,1154 S CLARK ST,60605,OPEN
MARIANO'S FRESH MARKET,2112 N ASHLAND,60614,OPEN
TONY'S FINER FOODS,4137 N. ELSTON AVE,60618,OPEN
LOS CUATRO HERMANOS GROCERY,1858 S ALLPORT ST,60608,OPEN
TARGET,7100 S CICERO AVE,60629,OPEN
PARK TO SHOP SUPERMARKET BROADWAY,4879 N BROADWAY,60640,OPEN
DILL PICKLE FOOD CO-OP,2746 N MILWAUKEE AVE,60647,OPEN
TARGET,4433 S PULASKI RD,60632,OPEN
MOSES BUTCHER SHOP,5057 W DIVISION ST,60651,OPEN
JEWEL - OSCO,4660 W IRVING PARK RD,60641,OPEN
MARIANO'S FRESH MARKET,3350 NORTH WESTERN AVENUE,60618,OPEN
HAPPY FOODS - EDGEBROOK,6415 N CENTRAL AVE,60646,OPEN
TARGET,2656 N ELSTON AVE,60647,OPEN
TRADER JOE'S,667 W DIVERSEY PKWY,60614,OPEN
OGIES FOOD,2600 W LITHUANIAN PLAZA CT,60629,OPEN
WALMART,10900 S DOTY AVE,60628,OPEN
WALMART,7535 S ASHLAND AVE,60620,CLOSED
CERMAK PRODUCE,1711 W CERMAK,60608,OPEN
CERMAK PRODUCE,3033 S HALSTED ST.,60608,OPEN
PETE'S FRESH MARKET,5838 S PULASKI RD.,60629,OPEN
WHOLE FOODS MARKET,3201 N ASHLAND AVE,60657,OPEN
TARGET,401 E ILLINOIS ST,60611,OPEN
JEWEL - OSCO,6107 S ARCHER AVE,60638,OPEN
FOODSMART,2901 W ARMITAGE AVE,60647,OPEN
TARGET,2434 N SACRAMENTO AVE,60647,CLOSED
SAVE A LOT,7240 S STONY ISLAND,60649,OPEN
ALDI,821 W 115TH ST,60643,OPEN
TRADER JOE'S,44 E ONTARIO ST,60611,OPEN
LEAMINGTON FOODS,5467 W MADISON ST,60644,OPEN
CERMAK PRODUCE,3311 W 26TH ST.,60623,OPEN
WHOLE FOODS MARKET,3640 N HALSTED ST,60613,OPEN
JEWEL - OSCO,6430 W IRVING PARK RD,60634,OPEN
CARNICERIA JIMENEZ,3850 W FULLERTON AVE,60647,OPEN
TARGET,6525 W DIVERSEY AVE,60707,OPEN
ALDI,10532 S INDIANAPOLIS AVE,60617,OPEN
COSTCO,7300 S CICERO AVE,60629,OPEN
TARGET,2650 N CLARK ST,60614,OPEN
WALMART,4626 W DIVERSEY AVE,60639,CLOSED
MARIANO'S FRESH MARKET,1615 S CLARK STREET,60616,OPEN
ALDI,4500 N BROADWAY ST,60640,OPEN
ALDI,8500 S HOLLAND RD,60620,OPEN
WHOLE FOODS MARKET,6009 N BROADWAY ST,60660,OPEN
ARMITAGE PRODUCE,3334 W. ARMITAGE AVE.,60647,OPEN
QUE RICO SUPERMERCADO,3552 W ARMITAGE AVE,60647,OPEN
JEWEL - OSCO,5320 S PULASKI RD,60632,OPEN
CLARENDON FOOD MART,4183 N CLARENDON AVE,60613,OPEN
TRADER JOE'S,1840 N CLYBOURN AVE,60614,OPEN
J FRESHMART,2411 S WALLACE ST,60616,OPEN
PLUM MARKET,1233 N WELLS ST,60610,OPEN
JEWEL - OSCO,4250 N LINCOLN AVE,60618,OPEN
FIRST CHOICE MARKET,3019 E 91ST ST,60617,OPEN
LA FERIA GROCERY,9704 S COMMERCIAL AVE,60617,OPEN
TARGET,1940 W 33RD ST,60608,OPEN
TONY'S FINER FOODS,2500 N CENTRAL AVENUE,60639,OPEN
JEWEL - OSCO,550 N STATE ST,60654,OPEN
JEWEL - OSCO,4734 N CUMBERLAND AVE APT N,60656,OPEN
TAI NAM FOOD MARKET,4925 N BROADWAY,60640,OPEN
JEWEL - OSCO,1224 S WABASH AVE,60605,OPEN
TONY'S FINER FOODS,3607 W FULLERTON,60647,OPEN
TRADER JOE'S,1528 E 55TH ST,60615,OPEN
JEWEL - OSCO,4355 N SHERIDAN RD,60613,OPEN
TRADER JOE'S,1147 S WABASH AVE,60605,OPEN
JEWEL - OSCO,2550 N CLYBOURN AVE,60614,OPEN
JEWEL - OSCO,4729 N CENTRAL AVE,60630,OPEN
JEWEL - OSCO,4042 W FOSTER AVE,60630,OPEN
JEWEL - OSCO,1763 W HOWARD ST,60626,OPEN
MARKET FRESH FINER FOODS,800 N KEDZIE AVENUE,60651,OPEN
HAPPY FOODS - EDISON PARK,6783 NORTHWEST HIGHWAY,60631,OPEN
JEWEL - OSCO,3128 W 103RD ST,60655,OPEN
ALDI,2828 N CENTRAL AVE,60634,OPEN
ALDI,5629 W FILLMORE ST,60644,OPEN
WOODLAWN SUPER FAIR LLC,6319 S VERNON AVE,60637,OPEN
TARGET,3204 N CLARK ST,60657,OPEN
ALDI,1739 W CERMAK RD,60608,OPEN
ALDI,1440 N KOSTNER AVE,60651,OPEN
POTASH MARKETS,875 N STATE STREET,60610,OPEN
JEWEL - OSCO,443 E 34TH ST,60616,OPEN
SEAFOOD CITY SUPERMARKET,5033 N ELSTON AVE,60630,OPEN
TARGET,2112 W PETERSON AVE,60659,OPEN
JEWEL - OSCO,3400 N WESTERN AVE,60618,OPEN
WALMART,4650 W NORTH AVE,60639,CLOSED
CERMAK PRODUCE,4000 WEST DIVERSEY AVE,60647,OPEN
PETE'S PRODUCE,1411 WEST 87TH STREET,60620,OPEN
WHOLE FOODS MARKET,1101 S CANAL ST STE 107,60607,OPEN
ALDI,2600 N CLYBOURN AVE,60614,OPEN
CARNICERIA LA HACIENDA,3459 W 59TH ST,60629,OPEN
BOCKWINKEL'S AT PARK MILLENIUM,222 N COLUMBUS,60601,OPEN
WALMART,7050 S CICERO AVE,60638,OPEN
ALDI,7545 S WESTERN AVE,60620,OPEN
SHOP & SAVE MARKET,5829 S ARCHER AVE,60638,OPEN
CERMAK PRODUCE,2701 W NORTH AVE,60647,OPEN
ALDI,620 W 63RD ST,60621,OPEN
ONE STOP FOODS,4301 S LAKE PARK AVE,60653,OPEN
JEWEL - OSCO,1655 E 95TH ST,60617,OPEN
FAIRPLAY NEIGHBORHOOD MARKET,4640 S HALSTED ST.,60609,OPEN
WHOLE FOODS MARKET,959 W FULLERTON AVE,60614,ONLINE ORDERS ONLY
SAVE A LOT,420 S PULAKSI RD,60624,OPEN
POTASH MARKETS,1525 N CLARK STREET,60610,OPEN
MARIANO'S FRESH MARKET,2021 W CHICAGO AVENUE,60622,OPEN
CARNICERIA LA HACIENDA,5153 S KEDZIE AVE,60632,OPEN
ALDI,4934 S KEDZIE AVE,60632,OPEN
ALDI,13085 S ASHLAND AVE,60827,OPEN
JEWEL - OSCO,6014 S COTTAGE GROVE,60637,OPEN
RIO VALLEY MARKET,3307 W 63RD ST,60629,OPEN
JOHNNY'S FOODS,7158 S ASHLAND AVE,60636,CLOSED
JEWEL - OSCO,7342 W FOSTER AVE STE 1,60656,OPEN
SAVE A LOT,10700 S HALSED ST,60628,OPEN
JEWEL - OSCO,3570 N ELSTON AVE,60618,OPEN
CARNICERIA JIMENEZ,3850 W NORTH AVE,60647,OPEN
FOOD MARKET LA CHICQUITA,2637 S PULASKI ROAD,60623,OPEN
CARNICERIA JIMENEZ,5330 W BELMONT AVE,60641,OPEN
WHOLE FOODS MARKET,30 W HURON ST,60654,OPEN
JEWEL - OSCO,3644 S ARCHER AVE,60609,OPEN
ALDI,1836 N CLYBOURN AVE,60614,OPEN
JEWEL - OSCO,1220 S ASHLAND AVE,60608,OPEN
ALDI,4501 S PULASKI RD,60632,OPEN
ALDI,5501 S HARLEM AVE,60638,OPEN
FRESH THYME FARMERS MARKET,2500 N ELSTON AVE,60647,OPEN
BIG APPLE FINER FOODS,2345 N CLARK ST,60614,OPEN
CENTRO FRESH MARKET,4804 W DIVERSEY AVE,60639,OPEN
SAVE A LOT,2858 E 83RD ST,60617,OPEN
MARIANO'S LAKESHORE EAST,333 E BENTON PL,60601,OPEN
ALDI,8333 S CICERO AVE,60652,OPEN
MONTROSE FOOD MART & DELI,6601 W IRVING PARK RD,60634,OPEN
JEWEL - OSCO,3531 N BROADWAY ST,60657,OPEN
FAT LEE SUPERMARKET,2707 S WELLS ST,60616,OPEN
ALDI,6220 N CALIFORNIA AVE,60659,OPEN
FAIR SHARE FINER FOODS,6422 W 63RD STREET,60638,OPEN
AVENUE FOOD MART,6850 W BELMONT AVE,60634,OPEN
LINDO MICHOACAN,3142 W LAWRENCE  AVE,60625,OPEN
