Label (Grouping),60601,60602,60603,60604,60605,60606,60607,60608,60609,60610,60611,60612,60613,60614,60615,60616,60617,60618,60619,60620,60621,60622,60623,60624,60625,60626,60628,60629,60630,60631,60632,60633,60634,60636,60637,60638,60639,60640,60641,60642,60643,60644,60645,60646,60647,60649,60651,60652,60653,60654,60655,60656,60657,60659,60660,60661,60706,60707,60803,60804,60805,60827
Median income (dollars),"121,458","126,202","133,545","81,658","123,922","128,609","127,732","73,366","58,896","105,226","125,675","60,922","95,572","136,448","63,876","73,819","51,778","106,384","45,206","48,146","31,905","136,277","51,878","34,030","85,703","59,713","54,644","60,826","98,860","115,000","64,809","62,458","88,533","38,807","43,609","91,070","61,089","73,254","83,758","143,175","80,852","40,950","76,045","112,525","107,060","44,175","54,409","80,020","40,666","147,357","114,723","95,766","110,939","68,704","67,479","125,741","84,530","84,799","67,014","70,842","95,719","37,217"
